2021-11-15 20:58:32 - INFO  - org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2021-11-15 20:58:32 - INFO  - o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-11-15 20:58:33 - INFO  - org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-11-15 20:58:34 - INFO  - o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-11-15 20:58:34 - INFO  - o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
2021-11-15 20:58:35 - INFO  - o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-11-15 20:58:35 - WARN  - o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-11-15 20:58:35 - INFO  - tn.esprit.spring.MessionTests - Started MessionTests in 4.975 seconds (JVM running for 5.634)
2021-11-15 20:58:36 - INFO  - t.e.s.services.MissionServiceImp - In retrieveAllMission() : 
2021-11-15 20:58:36 - INFO  - t.e.s.services.MissionServiceImp - Out of retrieveAllMission() : 
2021-11-15 20:58:36 - INFO  - o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-11-15 20:58:36 - INFO  - o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-11-15 20:58:36 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-11-15 20:58:36 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-11-15 20:59:28 - INFO  - tn.esprit.spring.MessionTests - Starting MessionTests on DESKTOP-AJTRO6P with PID 14508 (started by WIKI in C:\Users\WIKI\Desktop\Devops)
2021-11-15 20:59:28 - INFO  - tn.esprit.spring.MessionTests - No active profile set, falling back to default profiles: default
2021-11-15 20:59:29 - INFO  - o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-11-15 20:59:29 - INFO  - o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 86ms. Found 6 repository interfaces.
2021-11-15 20:59:29 - INFO  - o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$39fcb39d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-15 20:59:29 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-15 20:59:29 - INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-11-15 20:59:30 - INFO  - o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-11-15 20:59:30 - INFO  - org.hibernate.Version - HHH000412: Hibernate Core {5.3.9.Final}
2021-11-15 20:59:30 - INFO  - org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
